index,image,label
132327,886572,1
148571,171447,1
64293,762606,0
228523,60491,1
142606,835721,1
142822,24200,1
5669,774798,0
182774,768120,1
9320,27857,0
224174,104937,0
26441,120762,0
210442,75305,1
10223,698541,1
35368,763803,1
212557,27031,0
164259,162,1
7600,210131,0
138582,309738,0
208778,769165,1
125200,820191,1
22711,678608,0
131323,335130,0
130735,647966,1
196922,34254,1
22369,235269,0
7209,641356,0
50599,62115,0
160531,919732,1
107945,6831,0
60146,527157,0
125516,661654,0
158634,627319,1
166896,64197,0
29767,349217,1
215960,45341,0
227364,728264,1
47973,230111,1
209951,677472,0
196555,547891,1
64380,839926,0
803,775702,1
14436,279121,0
56128,111481,1
105285,236999,1
5910,163316,0
5857,163461,1
41698,834157,0
105692,377470,0
152157,116764,0
172070,361238,1
23627,941120,0
59950,527372,1
174850,17483,1
55072,434512,1
128036,254287,1
255527,56711,1
150296,799779,0
47184,17083,0
221110,338054,1
55538,182307,0
42110,852283,1
176237,729165,1
252916,126773,0
175682,814494,1
92106,807945,1
183100,536675,0
165820,57033,1
181643,72389,0
33226,226565,0
194740,608557,1
168240,273142,1
118649,329801,0
126841,14637,1
195203,467946,1
60935,880487,1
120651,626226,1
58472,549757,1
200060,148976,1
6594,372686,1
166295,528272,0
240007,842487,1
120446,474234,1
565,147906,0
33957,13761,0
66775,560326,1
129730,173745,0
99584,260078,1
225497,60588,1
244890,668954,1
241008,78597,0
152921,556898,1
253409,6145,1
7653,209735,0
9068,617143,1
114840,337270,1
238535,908214,1
25332,10213,1
172708,852321,0
244402,940137,1
51738,491515,0
72430,359316,0
100186,161870,1
54198,680324,0
141157,199291,1
173541,650077,1
54542,190064,0
234579,207010,0
35141,440617,0
94879,863780,1
158027,28248,1
172373,428359,1
184377,699655,1
9244,491284,1
142821,23969,1
43888,92450,1
53541,735,0
53972,221396,1
122678,583086,1
251319,90590,0
1683,7029,0
58807,602219,1
185821,244395,1
250667,9663,1
180203,731319,1
61431,40960,1
111506,761878,0
81980,583708,0
9206,491067,1
62789,298548,1
17857,741474,1
3776,712709,0
211029,4040,0
49624,239394,0
4368,291266,1
233500,629131,1
247979,72336,1
100763,288957,0
123907,36020,1
13753,902419,1
61743,507407,1
222143,354676,1
180680,21004,1
88236,735130,1
234882,106957,1
160132,672145,0
130397,395831,0
177439,836427,1
247202,615923,1
119676,713174,1
76323,346891,1
143814,67574,0
243229,947340,1
158271,459559,1
232189,653298,1
112044,497751,1
68959,18750,0
225444,60821,0
132308,886786,1
35682,233050,1
112960,309552,0
237289,473409,1
101895,388575,0
133605,410815,0
110221,180165,0
56466,588036,1
119821,702039,0
119057,955975,1
72032,62728,0
204744,252308,0
156059,53194,1
226050,206053,0
231322,58180,1
231677,140052,0
48565,85894,1
185266,477645,0
78258,474856,1
14487,575544,1
119683,713310,1
184816,268,0
238337,676251,0
59517,711011,1
7726,212798,0
209938,678567,1
19808,447960,1
186233,423904,0
205783,760218,1
49861,240073,0
164230,150,1
182913,537249,1
99158,949004,1
136507,23687,0
202647,719172,1
142972,24313,0
56196,129270,1
123832,36873,1
239355,828700,1
104142,443640,1
213074,488345,0
47515,369829,1
215333,356244,0
244297,50795,0
7497,86995,0
8448,43099,0
4051,725785,0
75516,804852,1
178709,807643,1
7351,88941,0
131443,59478,0
957,307196,1
120432,475705,1
32680,97961,0
108082,255114,1
132453,141890,0
53836,222048,1
169224,648706,0
179492,428009,1
133227,180527,1
117790,687218,1
249594,127608,0
88977,746252,1
212248,23379,1
71416,577258,1
43910,92303,0
161233,140008,1
1508,832366,1
106418,913628,1
209121,105072,1
90254,777781,1
153223,13569,1
233895,263937,0
222970,504544,1
96365,900963,1
246546,599158,1
221473,675590,0
72611,445777,1
59802,527228,1
187898,12566,1
196927,34305,0
26114,24822,1
249738,419141,1
31102,883228,1
194143,45939,1
68198,891072,1
232991,15880,0
223933,340638,1
22952,150384,1
163040,75854,1
968,308647,0
151622,77987,0
70209,446393,1
178930,910211,1
196540,547660,1
174097,271076,1
211943,10500,1
199474,887414,0
42235,492106,1
107578,673432,1
136591,47063,1
215978,45388,0
222262,153371,1
44356,318553,0
239504,812872,1
111326,236189,1
181052,861397,1
16449,938812,0
94114,847195,1
212651,26943,1
216093,334585,0
39986,584387,1
179232,20370,1
57637,12808,0
23194,188573,1
179878,765243,1
206422,385155,1
134497,249608,0
17772,760876,0
143704,65510,1
149126,274906,1
125272,819453,1
144195,107902,1
110369,181516,0
210461,75642,0
24589,368179,0
140533,38727,0
11718,639504,0
84408,648777,1
24538,367789,0
156332,552494,1
246285,941188,1
93465,836758,1
134188,151681,1
15497,464822,1
195329,394731,1
128792,417083,0
165528,144358,0
54124,856026,1
53265,780987,1
102766,420927,1
40995,446733,0
105904,377507,0
135305,7228,1
108692,20371,0
135162,7237,0
148784,412170,1
111773,791420,1
243598,81114,0
52398,664941,0
69307,596178,1
133872,782230,0
147303,104542,0
177285,601203,1
49691,238932,1
48148,229673,1
5924,162023,1
5025,312730,0
111121,344500,0
78301,471338,0
68698,296915,1
208408,609428,1
247473,12144,0
115851,771865,1
240409,343710,1
104617,569529,1
129652,173159,0
176040,862189,1
226994,779752,0
229268,26884,1
129192,834877,1
140166,8070,0
12130,750759,1
143212,382950,1
6816,767699,0
119971,850961,1
80784,563960,1
42724,4887,0
119020,22929,0
237019,103255,1
68330,284603,1
197741,516973,1
104915,14451,0
88595,740999,1
167559,110509,0
230566,513628,1
11832,798136,1
48735,321684,0
205260,280252,0
67167,408224,1
87874,727188,0
166028,301648,1
134261,150054,0
165675,143136,0
109533,950494,1
9137,479955,1
78309,469377,1
52684,25801,1
57546,348596,1
7323,89046,0
232875,15478,0
85826,678848,1
42326,894599,0
211082,4215,0
193598,74514,0
815,689637,1
241142,567726,1
168603,442979,1
149230,9337,0
75873,9855,0
108293,764711,0
139022,476013,0
42223,491917,1
158177,219720,0
48023,230324,0
170351,737819,1
19302,277249,1
175761,814680,0
1900,691642,1
208150,339030,1
196917,34309,0
91340,800871,1
119886,700239,0
46743,262925,0
131465,59653,0
172976,163097,0
62144,22680,1
32165,813272,1
83997,632908,0
204844,250555,0
237506,785713,0
158360,460119,1
64463,457704,0
165925,301378,1
114441,673125,0
105217,1310,0
40905,445022,1
119067,955895,0
185696,6465,1
12063,826621,0
145217,192880,0
14252,279350,0
75863,9926,0
201155,346477,1
206247,178256,0
179656,779635,1
209780,591703,1
109155,354535,0
2296,735939,1
148324,733467,0
102814,421122,0
130261,194141,0
196287,591736,1
194905,47765,0
162928,585747,1
181083,862169,0
211557,606398,0
122883,117942,0
181227,360283,0
158048,28005,1
195746,42322,0
232932,15666,0
104727,795559,1
174172,271248,1
90894,786655,0
43215,313742,0
155858,85184,0
117856,686899,0
198710,335679,1
118404,267881,1
125383,906406,1
222331,154133,1
24171,117880,1
66546,86533,0
194709,607713,1
193213,571678,1
1420,916843,1
242000,692840,0
191141,28353,0
233758,909530,1
140356,8057,0
44423,317851,1
170651,242177,0
141200,198448,0
182666,768225,1
102870,408408,1
81400,576480,1
55998,822203,0
129004,697014,1
145750,804838,1
59989,527304,0
53395,483264,1
152353,55541,1
58880,222903,0
110020,43963,0
141736,912640,0
74,953097,1
190020,167200,0
184183,402161,1
212984,897074,1
106653,5461,1
140382,8215,0
13379,123447,0
246765,68736,0
156077,53525,1
42225,492050,1
110717,344412,1
211948,10565,0
197000,21320,1
213860,878313,1
237604,786179,1
56390,310071,1
204823,250349,0
140215,8211,0
132709,692966,0
6873,767695,1
234738,612975,0
86981,704105,1
169267,648473,0
121303,247815,1
75282,305636,0
192664,816818,0
245550,696945,0
249543,128244,1
120093,10935,0
86733,705384,1
106610,5374,0
148802,410787,1
76662,636741,1
182861,540048,1
40274,486506,1
136527,23732,0
197201,21419,0
68864,570462,1
1057,308709,0
1357,267236,0
199836,893830,1
39368,782483,0
228974,31958,1
244309,50872,1
138522,309632,1
73526,598256,0
234202,34444,1
231038,936693,1
218168,105653,1
210933,604740,0
145624,913094,1
242386,96957,0
156520,496,0
162969,584250,0
3391,894009,1
184657,699605,1
141910,118869,0
203735,517499,1
113178,741210,1
232856,15856,0
99479,263034,1
56454,587311,1
41674,834203,1
159331,116386,0
58044,431633,0
228365,642443,1
156983,331679,0
244000,664947,0
216139,333702,0
228088,858118,0
128295,496568,0
37893,380883,0
179220,20207,1
123772,907586,1
202103,269672,1
69633,777912,1
28648,656013,0
164438,67578,1
25753,450585,0
134677,431852,0
135092,7202,0
251032,408353,0
133467,412807,0
54360,190214,0
239017,504288,1
109519,950863,0
138416,840540,1
120590,473898,0
191291,28211,0
33994,147278,0
248430,243153,1
224959,28586,0
142928,24042,0
199467,618697,1
82067,592990,1
157454,685034,0
4674,311728,0
21424,848911,1
29326,665416,1
152430,55694,1
198309,412,0
194754,48585,1
7141,642674,0
110557,692562,1
142813,24325,0
143107,65805,0
178433,841663,1
210314,4373,0
179605,779769,1
120466,476773,1
164681,866604,1
97896,927190,0
9463,831354,0
207369,390602,0
129607,173528,0
238375,676613,1
142859,24460,1
229527,359648,0
129944,926725,1
7779,731999,0
225249,60879,1
125915,807767,1
3431,894361,1
167889,818020,1
48624,321493,1
21094,754453,1
134091,150976,1
78322,474162,1
232462,945725,1
245127,18152,1
8021,303525,0
68615,298732,0
85868,683985,1
239305,828343,1
136904,217256,0
202105,269110,0
170374,737516,1
48744,320965,1
48279,484695,1
150094,292536,0
113566,470512,0
246473,22017,1
242316,96222,1
57664,13076,0
16592,338604,1
124940,30308,0
149685,733374,1
48595,86099,1
149269,9454,0
197047,21394,0
99799,264085,1
170547,243167,0
251197,90598,0
184785,308,0
232058,654683,0
70866,746047,1
32595,97428,1
205408,62917,0
31590,433896,1
241276,730877,1
174185,270953,1
72000,62595,1
218775,742776,0
183834,216903,0
162579,2280,1
7354,88868,1
218742,743877,1
138058,891521,0
13348,25653,1
140931,94764,0
173607,650749,1
76461,347548,0
123840,36470,1
194661,387907,1
235057,106762,0
139122,826166,0
253339,6006,0
119344,99715,0
227229,605727,1
42880,634178,0
17344,404586,0
249746,418521,1
69544,777717,0
215121,354917,0
144182,109019,1
233732,909586,0
171178,12260,1
113297,443707,1
108464,791909,0
176561,696025,0
69000,18526,1
158703,626541,1
87883,721842,1
68902,568519,1
8652,42415,0
248114,528044,1
87816,726966,1
11630,639915,1
36129,278234,0
211764,605006,0
17386,405867,1
222920,503581,0
251671,577960,1
240786,794899,1
164647,67158,0
212599,27191,0
179495,429277,1
136447,23651,0
196238,541987,1
187304,523519,1
76086,101868,0
172755,162726,1
173330,437971,1
18363,136752,1
24311,60657,0
193325,692830,0
88743,751981,1
210402,4310,1
197724,515216,1
44752,199240,0
9437,831438,1
132430,139510,0
97831,920638,0
251024,408773,0
213477,201763,0
14014,103000,0
20740,635846,1
43965,92700,0
181039,862206,0
114464,673890,0
250045,324021,0
135060,951554,0
247272,616334,1
130195,196210,1
209313,49102,1
17798,741083,1
246463,22029,1
138234,471810,1
95395,875926,1
210540,75177,0
40601,159858,1
3683,73388,0
154284,5764,1
243173,270396,1
150079,290765,1
193632,73511,0
76580,634194,1
42310,67555,0
72877,491860,1
40652,77015,0
7898,54668,1
163579,66368,0
115552,770792,0
183934,217534,1
29193,9982,1
228011,13478,0
48896,725888,0
143035,65605,0
109936,44106,0
43883,92399,0
156292,550056,1
55979,821930,0
212808,578638,1
2682,165675,0
131029,933191,1
129432,173161,0
77868,464342,1
204919,252167,1
230405,272494,1
77194,3437,0
208894,438709,1
115751,771822,1
180660,21115,1
8473,43053,1
8468,42854,0
67422,337660,0
46902,263284,1
128584,420404,0
29913,349018,0
32383,157450,0
195357,394254,0
13077,38974,0
218828,356605,0
68874,569873,1
184109,832667,1
11956,903948,1
140539,38963,1
185596,6355,1
19869,451534,1
157575,821275,0
135208,7416,1
112995,308510,0
166791,64609,0
227764,686476,1
245287,17651,0
128600,420194,1
11239,339608,1
199277,619935,0
86852,700132,1
234162,35037,0
206129,177263,1
228188,641074,0
125896,39821,0
162007,843470,0
111754,792323,0
2775,165934,0
225340,61024,0
68350,282766,0
184422,41981,1
203496,275067,1
175560,439227,1
139986,550484,1
134070,150691,0
59680,874286,0
181416,47478,1
13361,25827,0
115317,130769,0
164452,67106,1
171161,12176,1
41663,833335,0
54961,253139,1
46198,629950,1
181347,796993,1
64838,333373,1
150989,134830,0
253066,125820,0
123196,345408,0
72040,379847,1
208963,438722,1
247423,12137,1
192450,502231,1
61774,506633,1
250655,9783,1
93357,829969,1
57474,349239,1
218522,614661,1
23993,860720,1
202187,460229,0
180472,16978,1
25446,448160,0
166892,64621,0
224806,593479,1
248918,285316,1
154670,539142,1
16522,451648,0
110493,181781,0
68203,891086,1
28331,289390,1
225785,203796,0
26842,122076,0
231683,140574,0
209027,909160,1
151000,135342,0
6831,768166,0
121119,7527,1
30790,581733,1
151342,679104,1
68802,874864,0
65908,676107,1
91993,807589,0
146377,169325,0
156882,331526,0
156526,449,1
182473,711820,1
248914,284517,1
173214,436811,1
60188,716616,1
42726,4819,1
109930,44339,0
215776,45622,0
129216,486814,1
247889,819546,1
130567,398148,1
249662,128148,0
30910,747735,0
56963,790419,1
15082,537132,0
128636,420720,1
11672,639441,1
139503,753824,1
180666,21089,1
145573,912058,0
47607,369304,1
107085,868020,1
212218,23168,0
69191,18577,0
70052,681964,1
69225,18513,0
113695,426503,1
253088,126629,0
184002,603083,1
72720,927663,0
75963,9877,0
171550,228959,1
165602,144905,0
221936,743024,1
247848,819587,0
137635,422006,1
21427,847093,1
194006,904842,1
215878,45256,0
124635,159170,0
246557,600014,0
133655,412984,1
176411,311770,0
147787,884500,1
21097,756647,0
234291,34703,1
195167,466241,1
69172,18575,1
251955,12365,0
132752,692954,1
79015,493752,1
176173,728598,1
17775,762639,1
157364,861320,0
224577,8637,0
213390,202870,1
184840,225,1
81683,572800,0
144390,738553,1
85534,682279,0
166315,725309,1
24746,651404,1
155509,801871,1
159858,261123,0
184485,277623,1
78368,469081,0
12987,38282,0
159570,109315,1
67515,100591,0
82637,604176,1
172490,624979,1
226208,206529,0
128738,417545,0
173587,649968,1
237767,29987,0
4179,364819,0
28829,681685,0
196218,544918,1
108592,20450,0
6659,372750,0
38376,132862,1
341,930790,0
87076,716539,1
64709,333449,0
7331,89231,0
202423,458624,0
36089,724427,1
107698,58416,1
143766,64187,0
228115,858090,0
11899,904157,0
225957,205986,0
194807,48380,0
48485,485229,1
14220,276518,0
146547,169422,0
224195,105408,0
4625,290902,1
136866,218188,0
173661,763387,0
209834,678430,0
143933,661184,1
144492,452684,0
242436,96640,1
38656,317626,0
217040,849592,0
205768,759345,0
227501,88298,1
141699,912668,1
174424,327998,1
237936,176452,1
212536,802358,1
220247,895435,1
187022,876454,1
179652,779497,1
112226,593328,1
7300,86813,0
187739,35456,1
86368,692445,1
254359,706525,1
152820,555029,0
158170,220389,1
135667,154311,0
194110,45691,0
861,689702,1
225966,205947,1
97377,916508,1
145840,916481,1
148536,34877,1
161696,95203,0
26290,2142,0
232188,654404,1
48211,229842,1
148779,410470,1
197743,511516,0
221073,335854,1
242492,96936,1
144570,451014,0
165003,925565,1
81618,579694,0
50916,853882,1
139086,825952,1
238100,176115,0
123102,16763,1
171727,230418,1
82719,606486,1
26783,122143,0
115514,771322,1
254288,708843,1
172746,162781,0
70549,658484,1
249589,128430,0
229259,26896,1
236590,19940,0
168541,442657,1
144008,684528,1
22026,934137,1
244367,50745,0
244347,50852,1
12049,827028,1
238625,283134,0
11291,339580,1
4381,291593,0
179191,20269,1
27376,426788,1
40812,76081,1
144230,107969,1
226539,625752,1
72070,379858,1
205009,846689,0
481,444966,1
227388,727495,1
241036,1561,0
112936,309542,0
114151,427573,1
148346,734635,0
198743,334765,1
41691,833146,1
173313,436034,1
74214,356909,1
28290,287434,0
90575,786907,1
99880,261967,1
43665,56749,0
68701,298535,1
67568,618614,1
238088,176502,0
113109,309541,0
206765,588806,1
96575,899800,1
162151,364679,1
151458,660904,1
37897,379293,0
230133,573842,1
113681,426734,1
5954,163319,0
1383,268057,0
38323,5044,0
211542,606123,0
141884,118314,0
45302,482131,1
134464,249604,0
162246,366073,0
56,954141,1
166321,726915,1
206025,178568,1
205600,63034,0
43252,316872,0
86382,692264,0
53849,221999,0
152846,555396,1
248860,285491,1
239120,503399,1
1854,295853,0
106317,924600,1
123733,908207,1
30819,582176,1
18686,135987,1
248558,245015,1
247580,132454,0
10091,757361,1
240531,752310,0
46136,921347,1
214333,303344,1
26978,121104,0
105769,376655,0
158156,220150,0
215366,357191,0
192795,935241,0
146064,94466,0
246467,22028,0
142319,119885,0
4551,290294,1
18384,133230,1
73255,18386,1
121004,7547,0
250631,572197,1
156003,53459,1
135688,365525,1
91146,788943,1
247882,819556,1
238862,257307,1
29789,350892,0
169824,4708,1
252988,126841,0
6002,163229,0
128990,696440,1
60471,93303,1
111876,77400,1
118045,686794,1
199399,619713,1
195219,468395,1
67982,202348,1
57770,12813,0
164574,67362,0
212587,26927,0
156634,112992,0
186512,644766,1
43850,92644,0
227739,685473,1
247415,12072,0
86380,692795,1
76283,346575,1
169203,648963,0
64006,343122,0
122910,118147,0
132040,433969,1
97078,911909,1
244375,940811,1
48863,725129,0
217487,158188,1
184751,897297,0
232068,654502,1
64974,659340,1
107501,673076,1
48197,230231,1
12950,38245,0
182120,534298,0
235334,781852,1
145686,804844,1
104911,14699,0
218370,374521,0
174253,829796,1
77256,3439,0
201160,345387,1
243470,82362,1
222398,154154,1
253089,126891,0
236513,19381,0
99445,952294,0
55469,182640,0
222639,16162,0
191615,234149,1
150104,453816,1
230827,514119,1
200844,2583,0
69208,18298,0
196171,545042,1
114953,620746,0
146113,95204,0
169901,4785,1
27617,943888,1
88818,751613,1
73632,596072,0
101566,381862,1
181116,862144,0
80951,558286,1
70751,950528,1
61396,40947,0
121421,246709,1
221059,338052,1
196435,907725,1
13206,204246,1
41259,446637,1
46639,851761,1
181536,72560,0
123046,204559,1
221487,676272,0
111299,235880,0
154751,536931,0
204623,949690,0
42270,68133,1
203060,899402,1
113223,740690,1
50902,232677,1
48753,321957,0
68422,190016,1
148115,648066,1
154763,536691,0
14001,103919,0
142392,671381,1
47586,368794,1
141397,599277,1
183726,947561,1
33876,13776,0
36000,723160,0
223209,132,1
47980,228978,1
157709,36889,0
138643,309225,0
149983,923549,0
63667,943180,1
10620,178131,1
253384,6015,1
200544,70827,0
72707,927718,1
24693,651645,0
143672,64384,1
95974,893881,1
112938,308696,0
186629,642845,1
205606,63074,0
244300,50840,0
128137,254955,1
15753,92161,1
161305,139676,0
70031,682932,1
40861,76775,1
155167,97653,0
145614,913043,0
43651,56562,0
241565,41344,0
65325,705837,1
116526,880055,0
55718,183701,0
217306,13045,1
205876,70626,1
6649,373504,1
150389,52478,1
53520,509521,1
109452,367747,1
37927,381251,0
170006,1826,0
92617,823334,1
211553,606757,1
169951,4621,1
32447,840084,1
178630,750168,1
36527,542224,1
140586,38721,1
181167,362367,1
218119,106364,0
113796,821078,1
213459,202789,1
8463,43422,0
180047,114656,0
18153,314493,1
225834,205016,1
125647,827432,1
46807,262344,0
68352,282241,1
55332,52122,1
170000,1906,0
144859,130995,1
133684,411151,0
187506,835359,0
51483,798708,1
62199,22700,1
10116,757211,1
216354,334281,0
35512,234563,0
228372,642733,0
78627,489201,1
254735,371955,0
184045,602868,1
147546,905079,1
87799,727008,1
140308,7918,1
128695,419847,1
153515,326430,0
144998,912781,1
144186,103105,1
49957,326395,1
82267,591228,1
197148,21423,0
67922,201772,0
110435,181653,0
122704,582425,1
249041,283150,0
156565,113696,0
120441,476043,1
7633,210377,1
109040,354075,1
236477,19586,0
149354,9328,1
112039,497577,1
99787,257636,1
158355,460138,0
113580,469130,0
8776,931389,1
140842,94789,0
207247,391010,0
52458,946032,0
7595,212836,0
116073,771825,1
15575,463495,0
221780,908986,1
155886,10403,0
76339,346091,1
117690,402357,0
54671,788701,0
66709,165125,1
46796,263323,0
250210,924384,0
171842,362382,0
10998,521,1
32737,894030,1
184789,303,0
1293,268694,0
45641,2732,1
169997,1912,1
54959,253499,1
50058,323365,0
80426,544418,1
128704,418431,1
68204,891016,1
74043,355215,1
248260,524385,0
247325,383358,1
150182,454219,0
2427,736015,1
49285,111062,0
153536,323598,0
239185,504322,1
185745,245348,0
196204,544763,1
186991,875997,1
194675,609022,1
239404,563640,1
156950,332335,0
200590,70422,0
195151,467663,0
124862,30455,0
178621,751437,1
22089,935676,1
189802,168621,1
205021,846143,1
146126,95500,0
138198,468955,1
232546,831402,1
239803,824518,1
202634,720147,0
163223,75843,0
112511,937587,1
76260,100388,0
23358,636450,1
47077,17386,0
57635,13079,0
93799,842946,1
210372,4265,0
111676,593220,0
252435,315754,1
133439,413316,0
46528,701518,1
10654,179079,0
233021,15691,0
33548,645424,0
73372,595948,1
3540,73466,0
219884,733381,1
119185,99636,0
4765,313231,0
111736,792108,1
66828,559050,1
93245,828897,1
143223,383007,1
161817,95328,0
207625,49483,0
104530,570072,1
70154,444826,0
72743,927725,1
2819,164382,0
104594,570051,1
143129,65834,1
50265,617249,1
65800,93564,0
70261,446328,1
25824,449223,0
238008,176574,0
3525,73933,0
35471,763072,0
154236,5817,1
224631,8623,0
51440,185368,0
158041,28283,1
48367,484048,0
111896,76507,0
253930,828167,1
164357,929052,1
62056,709883,1
181994,529644,0
45643,2756,1
158504,721572,1
33475,645968,0
47050,17550,1
250647,9744,1
124021,497256,1
179752,921876,1
53577,759,1
27295,425892,0
248660,109518,1
108518,792339,1
138126,12455,0
83383,626327,1
20370,447860,1
207431,389089,0
177250,600733,0
43661,56553,0
1392,268860,0
246174,245901,1
86820,695356,1
174804,17427,1
150750,31842,1
210353,4406,1
168544,442550,0
141219,199447,1
136878,217487,0
50932,854011,1
158203,219344,1
119918,700858,0
134400,246812,0
72326,825761,1
184455,42411,1
185192,480230,1
129489,173656,0
122598,117658,1
252926,125618,0
24504,369706,0
13056,38661,0
170025,1855,1
938,307079,1
159623,116016,1
200606,71186,0
169402,886042,0
72644,752091,1
38552,319970,0
14372,278990,0
170563,243031,0
158758,194213,0
98699,938601,1
23435,638916,1
45707,273957,0
247243,616526,1
80411,546230,1
217983,841,1
16121,78879,1
173581,649830,1
221434,675763,1
149365,9419,0
109232,368643,0
68977,18857,0
213661,507847,1
167178,685472,1
185762,246088,1
48859,726525,1
187853,35772,1
16883,183242,0
60092,526962,1
119122,955765,1
174768,936118,1
93080,830650,1
164471,67293,1
107625,58501,0
235911,2839,0
228960,521444,1
13477,122315,0
126589,86800,1
108582,20700,0
145024,913031,0
140460,38188,0
200439,674118,0
201815,270993,0
148826,411219,0
239372,827799,1
196579,547700,1
130756,648112,0
124969,30348,0
113206,741212,1
242341,96851,1
175766,814883,0
227571,88342,1
192462,501190,1
163094,75742,0
27082,424903,1
227753,685066,1
172265,430361,1
47684,369658,0
126351,916077,1
200997,43970,1
128100,255048,1
79617,525036,1
30814,581257,0
156106,131958,1
115021,620682,1
158223,221248,0
125187,819855,1
136388,23747,0
63610,306489,1
142941,24369,0
22756,677790,0
133306,180313,0
122665,583292,0
33736,137813,1
75849,10053,1
204055,224986,0
247127,740010,1
142668,835584,1
164324,929069,0
105456,236420,0
5138,400915,1
9573,784654,1
171560,230986,0
185031,477472,0
105145,1285,0
110593,691148,0
239169,502872,1
112169,498819,1
35811,501654,0
105151,1354,0
242273,96931,1
192980,571114,1
133230,181017,1
56433,587355,1
48889,726134,0
66853,941514,1
6884,767859,0
162692,35748,0
544,149545,0
128184,255472,1
246428,22084,0
90686,786610,1
115969,770189,1
82962,618212,1
75890,10073,0
19987,447682,1
235531,1127,0
217888,901323,1
221517,676725,0
112990,308632,0
161770,95153,0
13656,901890,1
144181,105190,1
187822,35018,1
222504,957008,1
156536,488,1
68785,874957,1
35940,848197,0
9969,758232,1
151609,78507,1
54238,679454,1
174367,8701,0
195178,466693,1
235581,1160,0
143723,63735,1
191239,28672,1
221404,676422,1
75700,612371,0
162995,585409,1
136392,23215,0
144213,104030,1
44489,889578,1
141223,198175,0
228706,521321,1
139009,474960,0
57496,349210,1
5327,399768,1
218452,614493,1
64721,331849,0
138521,309836,1
77528,461349,1
139336,124888,1
189059,282861,0
18633,133748,1
54554,190113,0
55874,80655,1
124061,497893,1
193322,694352,1
92853,823876,0
84624,660013,1
56437,587251,1
5791,838351,1
75595,612435,0
140154,7967,1
200356,673871,0
69114,18898,1
212325,759759,1
140912,95118,0
24292,60390,1
53584,738,1
64853,333663,1
33764,13873,1
229788,668729,0
137913,722865,0
36788,252479,0
87218,716952,1
195003,112998,0
238805,256309,1
68735,875088,1
141247,198071,0
110771,341702,0
155879,10411,0
169151,648521,1
218163,106211,0
209134,104908,1
4328,364795,0
123088,16473,1
26354,2206,1
127687,10762,0
131325,332640,0
47214,17122,0
198610,336123,1
151762,78504,0
2310,735156,1
61974,708981,0
197155,21362,0
172825,162915,1
201105,346273,0
77989,477202,1
208877,438620,1
176710,892569,1
249241,456498,1
79144,501554,1
108200,766089,0
178155,421111,0
23946,927959,1
193290,693929,1
174404,8698,0
50402,919016,0
8836,748437,0
2442,163945,1
232834,15459,0
152204,116127,0
227767,686617,1
161334,139738,0
250959,409454,0
188245,558898,1
150917,135592,0
113290,442842,1
206619,586456,1
168529,441710,1
12876,39138,0
33486,644329,1
3312,677533,1
210030,543430,1
